PROGNAME,VARIANT,ARGS,THREADS,MINTIME,MEDIANTIME,MAXTIME,GIT_DEPTH
snowball-list,normal-haskell,1000000,1,0.107597,0.107909,0.117411,284
snowball-list,normal-haskell,1000000,1,0.106882,0.106934,0.116871,284
snowball-list,normal-haskell,1000000,1,0.110387,0.11137,0.118626,284
snowball-list,cnf-0.9-bugfix-incremental,1000000,1,0.108783,0.108969,0.116599,284
snowball-list,normal-haskell,2000000,1,0.192491,0.19419,0.195427,284
snowball-list,cnf-0.9-bugfix-incremental,2000000,1,0.209811,0.211512,0.212496,284
snowball-list,normal-haskell,4000000,1,0.48786,0.488566,0.48875,284
snowball-list,cnf-0.9-bugfix-incremental,4000000,1,0.412963,0.414573,0.415599,284
snowball-list,normal-haskell,8000000,1,0.879614,0.879874,0.880075,284
snowball-list,cnf-0.9-bugfix-incremental,8000000,1,0.818143,0.819833,0.820453,284
snowball-list,normal-haskell,10000000,1,1.331696,1.333245,1.337431,284
snowball-list,cnf-0.9-bugfix-incremental,10000000,1,1.019327,1.02082,1.021897,284
snowball-list,normal-haskell,15000000,1,1.537128,1.539114,1.542828,284
snowball-list,cnf-0.9-bugfix-incremental,15000000,1,1.524525,1.52502,1.525292,284
snowball-list,normal-haskell,20000000,1,2.396148,2.471901,2.472992,284
snowball-list,cnf-0.9-bugfix-incremental,20000000,1,2.033226,2.035676,2.089154,284
snowball-list,normal-haskell,30000000,1,3.914213,3.927984,3.929637,284
snowball-list,cnf-0.9-bugfix-incremental,30000000,1,3.03553,3.042931,3.119693,284
snowball-list,normal-haskell,1000000,2,0.1017,0.127794,0.145235,284
snowball-list,cnf-0.9-bugfix-incremental,1000000,2,6.366e-2,6.4356e-2,6.4881e-2,284
snowball-list,normal-haskell,2000000,2,0.176723,0.220018,0.22359,284
snowball-list,cnf-0.9-bugfix-incremental,2000000,2,0.123346,0.123544,0.124039,284
snowball-list,normal-haskell,4000000,2,0.319498,0.380123,0.411423,284
snowball-list,cnf-0.9-bugfix-incremental,4000000,2,0.23837,0.238626,0.239406,284
snowball-list,normal-haskell,8000000,2,0.852046,0.860075,1.250663,284
snowball-list,cnf-0.9-bugfix-incremental,8000000,2,0.468015,0.468566,0.469285,284
snowball-list,normal-haskell,10000000,2,0.955599,1.170301,1.18156,284
snowball-list,cnf-0.9-bugfix-incremental,10000000,2,0.580905,0.581081,0.582552,284
snowball-list,normal-haskell,15000000,2,1.533814,1.874757,1.956674,284
snowball-list,cnf-0.9-bugfix-incremental,15000000,2,0.865345,0.866656,0.868651,284
snowball-list,normal-haskell,20000000,2,1.672673,1.779552,2.004736,284
snowball-list,cnf-0.9-bugfix-incremental,20000000,2,1.152152,1.153516,1.153697,284
snowball-list,normal-haskell,30000000,2,2.750232,3.364029,3.533949,284
snowball-list,cnf-0.9-bugfix-incremental,30000000,2,1.717564,1.720704,1.728841,284
snowball-list,normal-haskell,1000000,4,7.5168e-2,7.7112e-2,8.0102e-2,284
